LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 88 (Standard)	Time: 6.508s | 6508.0ms
Test 88 (Parallel)	Time: 3.035s | 3035.0ms
Test 89 (Standard)	Time: 6.574s | 6574.0ms
Test 89 (Parallel)	Time: 2.797s | 2797.0ms
Test 90 (Standard)	Time: 6.599s | 6599.0ms
Test 90 (Parallel)	Time: 3.094s | 3094.0ms
Test 91 (Standard)	Time: 6.569s | 6569.0ms
Test 91 (Parallel)	Time: 2.733s | 2733.0ms
Test 92 (Standard)	Time: 6.561s | 6561.0ms
Test 92 (Parallel)	Time: 2.799s | 2799.0ms
Test 93 (Standard)	Time: 6.5s | 6500.0ms
Test 93 (Parallel)	Time: 2.905s | 2905.0ms
Test 94 (Standard)	Time: 6.561s | 6561.0ms
Test 94 (Parallel)	Time: 2.782s | 2782.0ms
Test 95 (Standard)	Time: 6.519s | 6519.0ms
Test 95 (Parallel)	Time: 2.798s | 2798.0ms
Test 96 (Standard)	Time: 6.494s | 6494.0ms
Test 96 (Parallel)	Time: 2.742s | 2742.0ms
Test 97 (Standard)	Time: 6.551s | 6551.0ms
Test 97 (Parallel)	Time: 2.738s | 2738.0ms
Test 98 (Standard)	Time: 6.519s | 6519.0ms
Test 98 (Parallel)	Time: 2.827s | 2827.0ms
Test 99 (Standard)	Time: 6.558s | 6558.0ms
Test 99 (Parallel)	Time: 3.165s | 3165.0ms
Test 100 (Standard)	Time: 6.601s | 6601.0ms
Test 100 (Parallel)	Time: 2.956s | 2956.0ms
Average time for standard merge sort: 6.316s | 6316.0ms
Average time for parallel merge sort: 2.861s | 2861.0ms
