LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 87 (Standard)	Time: 7.288s | 7288.0ms
Test 87 (Parallel)	Time: 2.939s | 2939.0ms
Test 88 (Standard)	Time: 7.285s | 7285.0ms
Test 88 (Parallel)	Time: 2.972s | 2972.0ms
Test 89 (Standard)	Time: 7.394s | 7394.0ms
Test 89 (Parallel)	Time: 3.087s | 3087.0ms
Test 90 (Standard)	Time: 7.288s | 7288.0ms
Test 90 (Parallel)	Time: 2.956s | 2956.0ms
Test 91 (Standard)	Time: 7.288s | 7288.0ms
Test 91 (Parallel)	Time: 2.993s | 2993.0ms
Test 92 (Standard)	Time: 7.287s | 7287.0ms
Test 92 (Parallel)	Time: 2.993s | 2993.0ms
Test 93 (Standard)	Time: 7.298s | 7298.0ms
Test 93 (Parallel)	Time: 2.91s | 2910.0ms
Test 94 (Standard)	Time: 7.297s | 7297.0ms
Test 94 (Parallel)	Time: 2.94s | 2940.0ms
Test 95 (Standard)	Time: 7.278s | 7278.0ms
Test 95 (Parallel)	Time: 2.982s | 2982.0ms
Test 96 (Standard)	Time: 7.321s | 7321.0ms
Test 96 (Parallel)	Time: 2.954s | 2954.0ms
Test 97 (Standard)	Time: 7.293s | 7293.0ms
Test 97 (Parallel)	Time: 2.904s | 2904.0ms
Test 98 (Standard)	Time: 7.305s | 7305.0ms
Test 98 (Parallel)	Time: 3.117s | 3117.0ms
Test 99 (Standard)	Time: 7.312s | 7312.0ms
Test 99 (Parallel)	Time: 2.992s | 2992.0ms
Test 100 (Standard)	Time: 7.399s | 7399.0ms
Test 100 (Parallel)	Time: 3.132s | 3132.0ms
Average time for standard merge sort: 7.115s | 7115.0ms
Average time for parallel merge sort: 2.909s | 2909.0ms
